#{"t_start": 1763596486.628973, "env_id": "None"}
r,l,t
1.0,1,20.255042
1.0,1,20.298445
1.0,1,20.336348
1.0,1,20.373742
1.0,1,20.409055
1.0,1,20.444087
1.0,1,20.479043
1.0,1,20.51306
1.0,1,20.547214
1.0,1,20.582784
1.0,1,20.616937
1.0,1,20.652364
1.0,1,20.686468
1.0,1,20.720991
1.0,1,20.753845
1.0,1,20.788595
1.0,1,20.822799
1.0,1,20.85778
1.0,1,20.892509
1.0,1,20.926044
1.0,1,20.960479
1.0,1,20.993706
1.0,1,21.027241
1.0,1,21.059935
1.0,1,21.093141
1.0,1,21.127248
1.0,1,21.160733
1.0,1,21.193668
1.0,1,21.226798
1.0,1,21.259977
1.0,1,21.292494
1.0,1,21.326366
1.0,1,21.360132
1.0,1,21.393845
1.0,1,21.428106
1.0,1,21.461038
1.0,1,21.494153
1.0,1,21.526839
1.0,1,21.560132
1.0,1,21.593362
1.0,1,21.626198
1.0,1,21.658928
1.0,1,21.692017
1.0,1,21.725584
1.0,1,21.75924
1.0,1,21.79311
1.0,1,21.826613
1.0,1,21.86101
1.0,1,21.894487
1.0,1,21.92797
1.0,1,21.961756
1.0,1,21.994725
1.0,1,22.028516
1.0,1,22.067428
1.0,1,22.104933
1.0,1,22.139923
1.0,1,22.175555
1.0,1,22.210361
1.0,1,22.245279
1.0,1,22.280362
1.0,1,22.314462
1.0,1,22.349532
1.0,1,22.382744
1.0,1,22.416246
1.0,1,22.449807
1.0,1,22.484939
1.0,1,22.518678
1.0,1,22.553251
1.0,1,22.587
1.0,1,22.621143
1.0,1,22.654867
1.0,1,22.688385
1.0,1,22.722373
1.0,1,22.757289
1.0,1,22.790225
1.0,1,22.823398
1.0,1,22.856958
1.0,1,22.889836
1.0,1,22.923236
1.0,1,22.957066
1.0,1,22.990489
1.0,1,23.02532
1.0,1,23.058938
1.0,1,23.091935
1.0,1,23.12497
1.0,1,23.157852
1.0,1,23.190339
1.0,1,23.222437
1.0,1,23.256328
1.0,1,23.288916
1.0,1,23.322369
1.0,1,23.355639
1.0,1,23.388693
1.0,1,23.4216
1.0,1,23.455508
1.0,1,23.48825
1.0,1,23.52172
1.0,1,23.556775
1.0,1,23.589639
1.0,1,23.622372
1.0,1,23.656865
1.0,1,23.69014
1.0,1,23.722685
1.0,1,23.755504
1.0,1,23.789299
1.0,1,23.822532
1.0,1,23.857175
1.0,1,23.890096
1.0,1,23.922892
1.0,1,23.95592
1.0,1,23.989794
1.0,1,24.022381
1.0,1,24.057603
1.0,1,24.092274
1.0,1,24.126985
1.0,1,24.162364
1.0,1,24.206733
1.0,1,24.242529
1.0,1,24.278852
1.0,1,24.312711
1.0,1,24.347065
1.0,1,24.381589
1.0,1,24.416928
1.0,1,24.451501
1.0,1,24.485614
1.0,1,24.519164
1.0,1,24.553
1.0,1,24.586786
1.0,1,24.620141
1.0,1,24.6544
1.0,1,24.688073
1.0,1,24.722406
1.0,1,24.756306
1.0,1,24.791147
1.0,1,24.824976
1.0,1,24.85812
1.0,1,24.891663
1.0,1,24.925297
1.0,1,24.958255
1.0,1,24.991519
1.0,1,25.025914
1.0,1,25.059614
1.0,1,25.093694
1.0,1,25.127259
1.0,1,25.160093
1.0,1,25.193212
1.0,1,25.226899
1.0,1,25.259943
1.0,1,25.293516
1.0,1,25.327939
1.0,1,25.362569
1.0,1,25.399262
1.0,1,25.433323
1.0,1,25.468675
1.0,1,25.5031
1.0,1,25.537352
1.0,1,25.571833
1.0,1,25.606701
1.0,1,25.641096
1.0,1,25.676203
1.0,1,25.710955
1.0,1,25.74378
1.0,1,25.777194
1.0,1,25.810909
1.0,1,25.844661
1.0,1,25.877447
1.0,1,25.911238
1.0,1,25.94405
1.0,1,25.978963
1.0,1,26.011993
1.0,1,26.04593
1.0,1,26.080084
1.0,1,26.11372
1.0,1,26.14722
1.0,1,26.1816
1.0,1,26.214422
1.0,1,26.24722
1.0,1,26.281079
1.0,1,26.319669
1.0,1,26.357402
1.0,1,26.393864
1.0,1,26.430902
1.0,1,26.465469
1.0,1,26.500864
1.0,1,26.535106
1.0,1,26.569484
1.0,1,26.604829
1.0,1,26.639128
1.0,1,26.673554
1.0,1,26.707111
1.0,1,26.742161
1.0,1,26.776845
1.0,1,26.811142
1.0,1,26.844859
1.0,1,26.878064
1.0,1,26.911955
1.0,1,26.944814
1.0,1,26.978025
1.0,1,27.011019
1.0,1,27.04474
1.0,1,27.077339
1.0,1,27.110609
1.0,1,27.143984
1.0,1,27.177205
1.0,1,27.210764
1.0,1,27.244381
1.0,1,27.27722
1.0,1,27.311265
1.0,1,27.345132
1.0,1,27.379678
1.0,1,27.413003
1.0,1,27.446482
1.0,1,27.480154
1.0,1,27.514687
1.0,1,27.54815
1.0,1,27.581989
1.0,1,27.615123
1.0,1,27.649414
1.0,1,27.683091
1.0,1,27.717605
1.0,1,27.751648
1.0,1,27.787606
1.0,1,27.821566
1.0,1,27.8564
1.0,1,27.891564
1.0,1,27.927402
1.0,1,27.962129
1.0,1,27.99794
1.0,1,28.031565
1.0,1,28.066091
1.0,1,28.101431
1.0,1,28.135739
1.0,1,28.173993
1.0,1,28.212364
1.0,1,28.248203
1.0,1,28.282451
1.0,1,28.3171
1.0,1,28.352595
1.0,1,28.387516
1.0,1,28.423554
1.0,1,28.458088
1.0,1,28.492454
1.0,1,28.526782
1.0,1,28.560446
1.0,1,28.594715
1.0,1,28.628817
1.0,1,28.663049
1.0,1,28.696787
1.0,1,28.730931
1.0,1,28.765771
1.0,1,28.799491
1.0,1,28.83364
1.0,1,28.867048
1.0,1,28.899985
1.0,1,28.934546
1.0,1,28.967927
1.0,1,29.002183
1.0,1,29.035954
1.0,1,29.070645
1.0,1,29.104496
1.0,1,29.138169
1.0,1,29.172369
1.0,1,29.206215
1.0,1,29.240188
1.0,1,29.274758
1.0,1,29.308861
1.0,1,29.343327
1.0,1,29.377875
1.0,1,29.410808
1.0,1,29.443896
1.0,1,29.478032
1.0,1,29.511422
1.0,1,29.544452
1.0,1,29.57812
1.0,1,29.611223
1.0,1,29.644104
1.0,1,29.677217
1.0,1,29.711333
1.0,1,29.744453
1.0,1,29.77763
1.0,1,29.810349
1.0,1,29.844131
1.0,1,29.877208
1.0,1,29.91181
1.0,1,29.944208
1.0,1,29.977163
1.0,1,30.009993
1.0,1,30.04437
1.0,1,30.076962
1.0,1,30.110429
1.0,1,30.143846
1.0,1,30.177883
1.0,1,30.213402
1.0,1,30.24738
1.0,1,30.285046
1.0,1,30.324269
1.0,1,30.36044
1.0,1,30.394426
1.0,1,30.428689
1.0,1,30.465159
1.0,1,30.50016
1.0,1,30.534257
1.0,1,30.569102
1.0,1,30.60227
1.0,1,30.636893
1.0,1,30.669978
1.0,1,30.704088
1.0,1,30.737814
1.0,1,30.772845
1.0,1,30.807153
1.0,1,30.841147
1.0,1,30.87544
1.0,1,30.909293
1.0,1,30.94236
1.0,1,30.97557
1.0,1,31.009081
1.0,1,31.043591
1.0,1,31.076805
1.0,1,31.109864
1.0,1,31.143025
1.0,1,31.177921
1.0,1,31.210488
1.0,1,31.244077
1.0,1,31.277315
1.0,1,31.311301
1.0,1,31.344683
1.0,1,31.37827
1.0,1,31.411296
1.0,1,31.444016
1.0,1,31.477488
1.0,1,31.511176
1.0,1,31.543952
1.0,1,31.580838
1.0,1,31.615236
1.0,1,31.648752
1.0,1,31.681681
1.0,1,31.715198
1.0,1,31.748743
1.0,1,31.782714
1.0,1,31.817113
1.0,1,31.850706
1.0,1,31.884893
1.0,1,31.919325
1.0,1,31.952885
1.0,1,31.986556
1.0,1,32.021213
1.0,1,32.054831
1.0,1,32.088791
1.0,1,32.123575
1.0,1,32.160393
1.0,1,32.205865
1.0,1,32.24462
1.0,1,32.281684
1.0,1,32.318263
1.0,1,32.353653
1.0,1,32.388869
1.0,1,32.423729
1.0,1,32.458979
1.0,1,32.493145
1.0,1,32.527782
1.0,1,32.563537
1.0,1,32.59862
1.0,1,32.633599
1.0,1,32.668583
1.0,1,32.702293
1.0,1,32.737189
1.0,1,32.772011
1.0,1,32.807287
1.0,1,32.839902
1.0,1,32.873825
1.0,1,32.906661
1.0,1,32.940315
1.0,1,32.972364
1.0,1,33.00567
1.0,1,33.03919
1.0,1,33.073214
1.0,1,33.10629
1.0,1,33.140291
1.0,1,33.174098
1.0,1,33.207011
1.0,1,33.240373
1.0,1,33.274747
1.0,1,33.309151
1.0,1,33.343225
1.0,1,33.37713
1.0,1,33.410942
1.0,1,33.446641
1.0,1,33.480526
1.0,1,33.515487
1.0,1,33.549772
1.0,1,33.583535
1.0,1,33.617661
1.0,1,33.652184
1.0,1,33.68629
1.0,1,33.720478
1.0,1,33.753912
1.0,1,33.788641
1.0,1,33.823266
1.0,1,33.856242
1.0,1,33.890356
1.0,1,33.923903
1.0,1,33.957071
1.0,1,33.989996
1.0,1,34.023911
1.0,1,34.057165
1.0,1,34.090775
1.0,1,34.124172
1.0,1,34.157452
1.0,1,34.190789
1.0,1,34.223431
1.0,1,34.256457
1.0,1,34.295233
1.0,1,34.33211
1.0,1,34.366581
1.0,1,34.401581
1.0,1,34.438293
1.0,1,34.473909
1.0,1,34.508042
1.0,1,34.543411
1.0,1,34.578304
1.0,1,34.61364
1.0,1,34.649015
1.0,1,34.684074
1.0,1,34.719441
1.0,1,34.756467
1.0,1,34.791884
1.0,1,34.826614
1.0,1,34.862045
1.0,1,34.897705
1.0,1,34.931816
1.0,1,34.966786
1.0,1,35.000965
1.0,1,35.037675
1.0,1,35.073807
1.0,1,35.107774
1.0,1,35.141553
1.0,1,35.178033
1.0,1,35.212903
1.0,1,35.248515
1.0,1,35.283921
1.0,1,35.319381
1.0,1,35.355848
1.0,1,35.391497
1.0,1,35.426452
1.0,1,35.461475
1.0,1,35.497837
1.0,1,35.535711
1.0,1,35.575888
1.0,1,35.611871
1.0,1,35.647314
1.0,1,35.683711
1.0,1,35.718366
1.0,1,35.753965
1.0,1,35.78836
1.0,1,35.823557
1.0,1,35.856549
1.0,1,35.890178
1.0,1,35.92421
1.0,1,35.958545
1.0,1,35.992066
1.0,1,36.025795
1.0,1,36.059652
1.0,1,36.092868
1.0,1,36.129673
1.0,1,36.170302
1.0,1,36.206681
1.0,1,36.241361
1.0,1,36.27724
1.0,1,36.3112
1.0,1,36.346019
1.0,1,36.379821
1.0,1,36.413743
1.0,1,36.448537
1.0,1,36.481999
1.0,1,36.515714
1.0,1,36.548484
1.0,1,36.581826
1.0,1,36.61615
1.0,1,36.650946
1.0,1,36.685383
1.0,1,36.719263
1.0,1,36.753004
1.0,1,36.786934
1.0,1,36.820484
1.0,1,36.856231
1.0,1,36.890878
1.0,1,36.925985
1.0,1,36.960084
1.0,1,36.994451
1.0,1,37.027602
1.0,1,37.060549
1.0,1,37.094191
1.0,1,37.126841
1.0,1,37.160592
1.0,1,37.194967
1.0,1,37.227458
1.0,1,37.259737
1.0,1,37.293577
1.0,1,37.327878
1.0,1,37.362988
1.0,1,37.398677
1.0,1,37.432752
1.0,1,37.466263
1.0,1,37.500585
1.0,1,37.53514
1.0,1,37.569625
1.0,1,37.60348
1.0,1,37.637927
1.0,1,37.671291
1.0,1,37.705923
1.0,1,37.740301
1.0,1,37.773581
1.0,1,37.807602
1.0,1,37.843595
1.0,1,37.878565
1.0,1,37.913597
1.0,1,37.949152
1.0,1,37.984065
1.0,1,38.019781
1.0,1,38.054846
1.0,1,38.08917
1.0,1,38.123544
1.0,1,38.157106
1.0,1,38.191248
1.0,1,38.225641
1.0,1,38.264056
1.0,1,38.30328
1.0,1,38.338724
1.0,1,38.373786
1.0,1,38.408746
1.0,1,38.443677
1.0,1,38.478674
1.0,1,38.512917
1.0,1,38.547047
1.0,1,38.581861
1.0,1,38.614622
1.0,1,38.649182
1.0,1,38.683362
1.0,1,38.717239
1.0,1,38.7518
1.0,1,38.786412
1.0,1,38.82049
1.0,1,38.855568
1.0,1,38.890756
1.0,1,38.924003
1.0,1,38.957188
1.0,1,38.991919
1.0,1,39.026516
1.0,1,39.060719
1.0,1,39.095471
1.0,1,39.129187
1.0,1,39.163547
1.0,1,39.197426
1.0,1,39.231577
1.0,1,39.264424
1.0,1,39.298105
1.0,1,39.331596
1.0,1,39.365496
1.0,1,39.398411
1.0,1,39.432371
1.0,1,39.466314
1.0,1,39.500072
1.0,1,39.534632
1.0,1,39.569411
1.0,1,39.603199
1.0,1,39.6371
1.0,1,39.670738
1.0,1,39.705153
1.0,1,39.739774
1.0,1,39.773935
1.0,1,39.807172
1.0,1,39.841395
1.0,1,39.87527
1.0,1,39.909265
1.0,1,39.943404
1.0,1,39.978967
1.0,1,40.013132
1.0,1,40.047044
1.0,1,40.080782
1.0,1,40.117642
1.0,1,40.155689
1.0,1,40.191986
1.0,1,40.227839
1.0,1,40.263608
1.0,1,40.298832
1.0,1,40.334263
1.0,1,40.369167
1.0,1,40.403056
1.0,1,40.436712
1.0,1,40.469928
1.0,1,40.503302
1.0,1,40.537254
1.0,1,40.570917
1.0,1,40.605414
1.0,1,40.63871
1.0,1,40.672552
1.0,1,40.706292
1.0,1,40.740214
1.0,1,40.774785
1.0,1,40.808812
1.0,1,40.841674
1.0,1,40.876841
1.0,1,40.910563
1.0,1,40.943987
1.0,1,40.977633
1.0,1,41.011411
1.0,1,41.045089
1.0,1,41.080133
1.0,1,41.118606
1.0,1,41.155194
1.0,1,41.193305
1.0,1,41.232618
1.0,1,41.270373
1.0,1,41.306971
1.0,1,41.345371
1.0,1,41.381939
1.0,1,41.42031
1.0,1,41.457024
1.0,1,41.494136
1.0,1,41.532281
1.0,1,41.569781
1.0,1,41.608113
1.0,1,41.646106
1.0,1,41.685105
1.0,1,41.723279
1.0,1,41.763542
1.0,1,41.80335
1.0,1,41.842913
1.0,1,41.880226
1.0,1,41.920077
1.0,1,41.956979
1.0,1,41.994736
1.0,1,42.032624
1.0,1,42.069833
1.0,1,42.106737
1.0,1,42.143658
1.0,1,42.181625
1.0,1,42.21963
1.0,1,42.257196
1.0,1,42.299797
1.0,1,42.337844
1.0,1,42.376611
1.0,1,42.414313
1.0,1,42.452
1.0,1,42.490256
1.0,1,42.528184
1.0,1,42.565926
1.0,1,42.605277
1.0,1,42.643298
1.0,1,42.68212
1.0,1,42.721288
1.0,1,42.760009
1.0,1,42.798548
1.0,1,42.836698
1.0,1,42.876273
1.0,1,42.915606
1.0,1,42.953618
1.0,1,42.990581
1.0,1,43.029485
1.0,1,43.066999
1.0,1,43.104386
1.0,1,43.142283
1.0,1,43.180494
1.0,1,43.218612
1.0,1,43.257171
1.0,1,43.294393
1.0,1,43.332032
1.0,1,43.369885
1.0,1,43.407074
1.0,1,43.444259
1.0,1,43.481853
1.0,1,43.51929
1.0,1,43.557345
1.0,1,43.605951
1.0,1,43.643607
1.0,1,43.68144
1.0,1,43.719338
1.0,1,43.759393
1.0,1,43.798499
1.0,1,43.838225
1.0,1,43.878256
1.0,1,43.916706
1.0,1,43.955065
1.0,1,43.994168
1.0,1,44.032833
1.0,1,44.07094
1.0,1,44.110259
1.0,1,44.151552
1.0,1,44.193339
1.0,1,44.237795
1.0,1,44.276556
1.0,1,44.314411
1.0,1,44.354206
1.0,1,44.393631
1.0,1,44.432585
1.0,1,44.46951
1.0,1,44.5076
1.0,1,44.543415
1.0,1,44.579815
1.0,1,44.619229
1.0,1,44.656247
1.0,1,44.694774
1.0,1,44.73281
1.0,1,44.769958
1.0,1,44.808156
1.0,1,44.845584
1.0,1,44.882382
1.0,1,44.920108
1.0,1,44.957735
1.0,1,44.994403
1.0,1,45.033018
1.0,1,45.07011
1.0,1,45.107857
1.0,1,45.144754
1.0,1,45.182735
1.0,1,45.21948
1.0,1,45.257968
1.0,1,45.294427
1.0,1,45.332241
1.0,1,45.370421
1.0,1,45.40866
1.0,1,45.44741
1.0,1,45.48611
1.0,1,45.524393
1.0,1,45.564557
1.0,1,45.602642
1.0,1,45.640551
1.0,1,45.678348
1.0,1,45.716207
1.0,1,45.754221
1.0,1,45.791277
1.0,1,45.827853
1.0,1,45.864582
1.0,1,45.904387
1.0,1,45.943339
1.0,1,45.983159
1.0,1,46.023375
1.0,1,46.064667
1.0,1,46.102887
1.0,1,46.140316
1.0,1,46.177565
1.0,1,46.215654
1.0,1,46.26892
1.0,1,46.310354
1.0,1,46.346423
1.0,1,46.383113
1.0,1,46.420115
1.0,1,46.457469
1.0,1,46.49444
1.0,1,46.53007
1.0,1,46.56591
1.0,1,46.601466
1.0,1,46.636667
1.0,1,46.671047
1.0,1,46.708905
1.0,1,46.743842
1.0,1,46.778598
1.0,1,46.813319
1.0,1,46.85038
1.0,1,46.889882
1.0,1,46.924277
1.0,1,46.959668
1.0,1,46.99486
1.0,1,47.028933
1.0,1,47.06324
